division	Louisiana	#5E1D9D
division	Texas	#BEBADA
division	Mississippi	#4274CE
division	New Mexico	#E69337
division	Arkansas	#85BA6F
division	Hawaii	#511EA8
division	Alaska	#4B25B0
division	Oregon	#472EB9
division	Washington	#4236C1
division	California	#DB2823
division	Nevada	#3F4BCA
division	Idaho	#3F56CE
division	Utah	#3F60D0
division	Arizona	#416ACF
division	Montana	#4885C7
division	Wyoming	#4B8DC2
division	Colorado	#4E95BD
division	North Dakota	#049ED6
division	South Dakota	#529BB6
division	Nebraska	#56A0AE
division	Kansas	#5BA6A7
division	Oklahoma	#60AA9F
division	Minnesota	#65AD96
division	Iowa	#6BB18E
division	Missouri	#71B486
division	Wisconsin	#78B67E
division	Illinois	#7EB976
division	Alabama	#8CBC68
division	Tennessee	#94BD62
division	Indiana	#9BBE5B
division	Kentucky	#A3BE57
division	Michigan	#ABBD52
division	Georgia	#B2BD4D
division	Ohio	#BABC4A
division	Florida	#C1BA47
division	Puerto Rico	#F0EA8B
division	South Carolina	#C8B944
division	North Carolina	#D3B23F
division	Virginia	#D9AE3E
division	West Virginia	#E8CF8E
division	Pennsylvania	#DDA83C
division	Washington DC	#E0A13A
division	Maryland	#E39A39
division	New Jersey	#E68935
division	New York	#E67F33
division	Connecticut	#E67431
division	Vermont	#E4682F
division	Massachusetts	#E25B2C
division	New Hampshire	#E04E2A
division	Rhode Island	#DF4227
division	Maine	#DD3525
division	Delaware	#E0AB22
recency	Older	#416DCE
recency	One month ago	#59A3AA
recency	One week ago	#84BA6F
recency	3-7 days ago	#BBBC49
recency	1-2 days ago	#E29D39
recency	New	#E1502A
region	Oceania	#416DCE
region	Asia	#59A3AA
region	Africa	#84BA6F
region	Europe	#BBBC49
region	North America	#E29D39
region	South America	#E1502A
